Year,Diameter,Tap_Hole_Made,Area_of_Overlap_Between_This_Tap_Hole_and_Other_Nonconductive_Wood_Columns,Proportion_of_Exposed_Tissue_in_the_Tap_Hole_That_Overlaps_With_Other_Nonconductive_Wood_Columns
79,43.78235857,TRUE,0,0
80,44.63218764,TRUE,0,0
81,45.04739597,TRUE,0,0
82,45.3933328,TRUE,0,0
83,46.06924298,TRUE,0,0
84,46.37124931,TRUE,0,0
85,47.2748489,TRUE,0,0
86,47.5474021,TRUE,0,0
87,48.28333331,TRUE,0,0
88,49.02271525,TRUE,0,0
89,49.59747885,TRUE,0,0
90,50.12667818,TRUE,0,0
91,50.95464188,TRUE,0,0
92,51.31572201,TRUE,0,0
93,51.55701658,TRUE,0,0
94,52.56522904,TRUE,0,0
95,52.89705426,TRUE,0,0
96,53.13760547,TRUE,0,0
97,53.71137625,TRUE,0,0
98,54.11583837,TRUE,0,0
99,54.4860155,TRUE,0,0
100,55.22283785,TRUE,0,0
101,55.70200202,TRUE,0,0
102,56.28265956,TRUE,0,0
103,56.88852321,TRUE,0,0
104,57.76064881,TRUE,0,0
105,58.28538995,TRUE,0,0
106,58.63057101,TRUE,0,0
107,59.29623332,TRUE,0,0
108,60.08489872,TRUE,0,0
109,60.62946853,TRUE,0,0
110,61.35715742,TRUE,0,0
111,61.69960655,TRUE,0,0
112,62.49177298,TRUE,0,0
113,63.75672876,TRUE,0,0
114,63.93795218,TRUE,0,0
115,64.22320567,TRUE,0,0
116,64.53343165,TRUE,0,0
117,64.96216689,TRUE,0,0
118,65.34696815,TRUE,0,0
119,65.54169743,TRUE,0,0
120,65.82739526,TRUE,0,0
121,66.31300561,TRUE,0,0
122,66.66484329,TRUE,0,0
123,67.06734071,TRUE,0,0
124,68.09976083,TRUE,0,0
125,68.39043133,TRUE,0,0
126,68.83388009,TRUE,0,0
127,69.22203476,TRUE,0,0
128,69.79401729,TRUE,0,0
129,69.97343703,TRUE,0,0
130,70.51612762,TRUE,0,0
131,71.45701633,TRUE,0,0
132,71.89159613,TRUE,0,0
133,72.72318067,TRUE,0,0
134,73.32850561,TRUE,0,0
135,73.95796691,TRUE,0,0
136,74.51407104,TRUE,0,0
137,74.97405069,TRUE,0,0
138,75.36588636,TRUE,0,0
139,75.58862592,TRUE,0,0
140,76.19334361,TRUE,0,0
141,76.58543189,TRUE,0,0
142,77.10157542,TRUE,0,0
143,77.73056078,TRUE,0,0
144,77.95740016,TRUE,0,0
145,78.93221139,TRUE,0,0
146,79.46651173,TRUE,0,0
147,80.77265975,TRUE,0,0
148,80.93797092,TRUE,0,0
149,81.3516824,TRUE,0,0
150,81.6950125,TRUE,0,0
151,82.0776833,TRUE,0,0
152,82.59028818,TRUE,0,0
153,83.28735038,TRUE,0,0
154,83.47249336,TRUE,0,0
155,83.98224175,TRUE,0,0
156,84.32788777,TRUE,0,0
157,84.76642077,TRUE,0,0
158,85.54632029,TRUE,0,0
159,86.23700126,TRUE,0,0
160,86.8139624,TRUE,0,0
161,87.0387707,TRUE,0,0
162,87.3571018,TRUE,0,0
163,87.60684438,TRUE,0,0
164,88.22720687,TRUE,0,0
165,88.8747744,TRUE,0,0
166,89.41587054,TRUE,0,0
167,90.19979736,TRUE,0,0
168,90.61781446,TRUE,0,0
